user_id,sessions_date,device,,,,,,,,,,,,,,,,,,,,,Mobile
781,2025-10-07,Mobile,,,,,,,,,,,,,,,,,,,,,
1296,2025-05-16,Tablet,,,,,,,,,,,,,,,,,,,,,
2442,2025-11-20,Tablet,,,,,,,,,,,,,,,,,,,,,
892,2025-08-24,Mobile,,,,,,,,,,,,,,,,,,,,,
3188,2025-10-03,Mobile,,,,,,,,,,,,,,,,,,,,,
1539,2025-11-20,Mobile,,,,,,,,,,,,,,,,,,,,,
2292,2025-03-27,Mobile,,,,,,,,,,,,,,,,,,,,,
4445,2025-10-18,Mobile,,,,,,,,,,,,,,,,,,,,,
1997,2025-01-06,Tablet,,,,,,,,,,,,,,,,,,,,,
4364,2025-07-12,Mobile,,,,,,,,,,,,,,,,,,,,,
4235,2025-04-03,Mobile,,,,,,,,,,,,,,,,,,,,,
221,2025-09-05,Mobile,,,,,,,,,,,,,,,,,,,,,
1511,2025-12-03,Tablet,,,,,,,,,,,,,,,,,,,,,
1272,2025-06-18,Tablet,,,,,,,,,,,,,,,,,,,,,
1183,2025-09-14,Mobile,,,,,,,,,,,,,,,,,,,,,
1555,2025-12-15,Tablet,,,,,,,,,,,,,,,,,,,,,
2059,2025-05-18,Tablet,,,,,,,,,,,,,,,,,,,,,
1578,2025-07-12,Tablet,,,,,,,,,,,,,,,,,,,,,
2851,2025-07-03,Mobile,,,,,,,,,,,,,,,,,,,,,
3539,2025-11-28,Tablet,,,,,,,,,,,,,,,,,,,,,
2814,2025-04-11,Desktop,,,,,,,,,,,,,,,,,,,,,
3207,2025-06-22,Tablet,,,,,,,,,,,,,,,,,,,,,
648,2025-09-16,Desktop,,,,,,,,,,,,,,,,,,,,,
1898,2025-01-04,Tablet,,,,,,,,,,,,,,,,,,,,,
4987,2025-12-08,Desktop,,,,,,,,,,,,,,,,,,,,,
4405,2025-12-18,Tablet,,,,,,,,,,,,,,,,,,,,,
1995,2025-07-14,Desktop,,,,,,,,,,,,,,,,,,,,,
4471,2025-11-11,Desktop,,,,,,,,,,,,,,,,,,,,,
1763,2025-03-19,Tablet,,,,,,,,,,,,,,,,,,,,,
679,2025-03-03,Desktop,,,,,,,,,,,,,,,,,,,,,
133,2025-06-17,Mobile,,,,,,,,,,,,,,,,,,,,,
154,2025-01-19,Tablet,,,,,,,,,,,,,,,,,,,,,
631,2025-03-02,Desktop,,,,,,,,,,,,,,,,,,,,,
1578,2025-05-13,Tablet,,,,,,,,,,,,,,,,,,,,,
4993,2025-09-06,Mobile,,,,,,,,,,,,,,,,,,,,,
3612,2025-08-19,Desktop,,,,,,,,,,,,,,,,,,,,,
3617,2025-07-06,Desktop,,,,,,,,,,,,,,,,,,,,,
4234,2025-06-23,Desktop,,,,,,,,,,,,,,,,,,,,,
1471,2025-05-10,Mobile,,,,,,,,,,,,,,,,,,,,,
4309,2025-09-24,Tablet,,,,,,,,,,,,,,,,,,,,,
2496,2025-02-10,Desktop,,,,,,,,,,,,,,,,,,,,,
3983,2025-06-12,Tablet,,,,,,,,,,,,,,,,,,,,,
1949,2025-02-09,Desktop,,,,,,,,,,,,,,,,,,,,,
2709,2025-11-17,Mobile,,,,,,,,,,,,,,,,,,,,,
4439,2025-12-12,Tablet,,,,,,,,,,,,,,,,,,,,,
4587,2025-01-03,Desktop,,,,,,,,,,,,,,,,,,,,,
1965,2025-03-17,Mobile,,,,,,,,,,,,,,,,,,,,,
4891,2025-04-03,Mobile,,,,,,,,,,,,,,,,,,,,,
3214,2025-12-07,Desktop,,,,,,,,,,,,,,,,,,,,,
1031,2025-01-01,Tablet,,,,,,,,,,,,,,,,,,,,,
1417,2025-06-26,Desktop,,,,,,,,,,,,,,,,,,,,,
2581,2025-06-18,Tablet,,,,,,,,,,,,,,,,,,,,,
854,2025-07-19,Desktop,,,,,,,,,,,,,,,,,,,,,
3143,2025-04-02,Mobile,,,,,,,,,,,,,,,,,,,,,
2455,2025-02-14,Mobile,,,,,,,,,,,,,,,,,,,,,
4857,2025-04-09,Mobile,,,,,,,,,,,,,,,,,,,,,
3456,2025-11-16,Desktop,,,,,,,,,,,,,,,,,,,,,
1663,2025-05-10,Mobile,,,,,,,,,,,,,,,,,,,,,
1022,2025-12-09,Tablet,,,,,,,,,,,,,,,,,,,,,
4563,2025-08-21,Mobile,,,,,,,,,,,,,,,,,,,,,
649,2025-03-11,Desktop,,,,,,,,,,,,,,,,,,,,,
1697,2025-03-22,Mobile,,,,,,,,,,,,,,,,,,,,,
4929,2025-03-10,Mobile,,,,,,,,,,,,,,,,,,,,,
1216,2025-12-03,Mobile,,,,,,,,,,,,,,,,,,,,,
125,2025-10-25,Desktop,,,,,,,,,,,,,,,,,,,,,
3296,2025-11-07,Desktop,,,,,,,,,,,,,,,,,,,,,
4428,2025-11-28,Tablet,,,,,,,,,,,,,,,,,,,,,
1391,2025-08-18,Tablet,,,,,,,,,,,,,,,,,,,,,
3695,2025-12-06,Desktop,,,,,,,,,,,,,,,,,,,,,
398,2025-02-23,Mobile,,,,,,,,,,,,,,,,,,,,,
655,2025-05-12,Tablet,,,,,,,,,,,,,,,,,,,,,
4316,2025-07-10,Desktop,,,,,,,,,,,,,,,,,,,,,
467,2025-09-26,Mobile,,,,,,,,,,,,,,,,,,,,,
3709,2025-02-13,Mobile,,,,,,,,,,,,,,,,,,,,,
749,2025-09-20,Mobile,,,,,,,,,,,,,,,,,,,,,
2699,2025-07-25,Desktop,,,,,,,,,,,,,,,,,,,,,
2929,2025-11-28,Desktop,,,,,,,,,,,,,,,,,,,,,
1684,2025-01-13,Mobile,,,,,,,,,,,,,,,,,,,,,
1693,2025-07-13,Tablet,,,,,,,,,,,,,,,,,,,,,
873,2025-11-13,Mobile,,,,,,,,,,,,,,,,,,,,,
4057,2025-10-10,Desktop,,,,,,,,,,,,,,,,,,,,,
440,2025-10-04,Tablet,,,,,,,,,,,,,,,,,,,,,
4011,2025-08-04,Desktop,,,,,,,,,,,,,,,,,,,,,
1757,2025-05-06,Tablet,,,,,,,,,,,,,,,,,,,,,
1650,2025-05-22,Tablet,,,,,,,,,,,,,,,,,,,,,
3697,2025-03-23,Tablet,,,,,,,,,,,,,,,,,,,,,
707,2025-03-19,Mobile,,,,,,,,,,,,,,,,,,,,,
147,2025-09-11,Mobile,,,,,,,,,,,,,,,,,,,,,
4623,2025-04-23,Tablet,,,,,,,,,,,,,,,,,,,,,
4344,2025-04-16,Mobile,,,,,,,,,,,,,,,,,,,,,
1891,2025-09-09,Mobile,,,,,,,,,,,,,,,,,,,,,
4633,2025-11-11,Desktop,,,,,,,,,,,,,,,,,,,,,
475,2025-04-07,Tablet,,,,,,,,,,,,,,,,,,,,,
1561,2025-05-17,Mobile,,,,,,,,,,,,,,,,,,,,,
2828,2025-09-05,Mobile,,,,,,,,,,,,,,,,,,,,,
1884,2025-05-08,Tablet,,,,,,,,,,,,,,,,,,,,,
443,2025-02-12,Tablet,,,,,,,,,,,,,,,,,,,,,
1406,2025-04-04,Tablet,,,,,,,,,,,,,,,,,,,,,
296,2025-06-05,Tablet,,,,,,,,,,,,,,,,,,,,,
2415,2025-12-28,Mobile,,,,,,,,,,,,,,,,,,,,,
1239,2025-01-16,Mobile,,,,,,,,,,,,,,,,,,,,,
843,2025-07-24,Mobile,,,,,,,,,,,,,,,,,,,,,
3266,2025-09-02,Tablet,,,,,,,,,,,,,,,,,,,,,
1501,2025-05-21,Desktop,,,,,,,,,,,,,,,,,,,,,
872,2025-07-24,Desktop,,,,,,,,,,,,,,,,,,,,,
4573,2025-09-06,Tablet,,,,,,,,,,,,,,,,,,,,,
1890,2025-06-01,Mobile,,,,,,,,,,,,,,,,,,,,,
649,2025-12-18,Desktop,,,,,,,,,,,,,,,,,,,,,
612,2025-01-07,Mobile,,,,,,,,,,,,,,,,,,,,,
575,2025-08-17,Desktop,,,,,,,,,,,,,,,,,,,,,
3508,2025-02-09,Desktop,,,,,,,,,,,,,,,,,,,,,
1277,2025-06-13,Desktop,,,,,,,,,,,,,,,,,,,,,
4330,2025-04-16,Desktop,,,,,,,,,,,,,,,,,,,,,
2609,2025-09-28,Tablet,,,,,,,,,,,,,,,,,,,,,
3043,2025-02-03,Mobile,,,,,,,,,,,,,,,,,,,,,
3829,2025-12-10,Tablet,,,,,,,,,,,,,,,,,,,,,
4085,2025-10-03,Desktop,,,,,,,,,,,,,,,,,,,,,
1238,2025-11-03,Tablet,,,,,,,,,,,,,,,,,,,,,
3120,2025-06-20,Desktop,,,,,,,,,,,,,,,,,,,,,
4967,2025-12-07,Tablet,,,,,,,,,,,,,,,,,,,,,
3616,2025-06-08,Mobile,,,,,,,,,,,,,,,,,,,,,
4612,2025-06-02,Mobile,,,,,,,,,,,,,,,,,,,,,
131,2025-06-11,Mobile,,,,,,,,,,,,,,,,,,,,,
2404,2025-12-09,Mobile,,,,,,,,,,,,,,,,,,,,,
4471,2025-07-08,Desktop,,,,,,,,,,,,,,,,,,,,,
903,2025-11-27,Desktop,,,,,,,,,,,,,,,,,,,,,
3064,2025-02-16,Mobile,,,,,,,,,,,,,,,,,,,,,
2698,2025-12-22,Desktop,,,,,,,,,,,,,,,,,,,,,
1904,2025-05-26,Desktop,,,,,,,,,,,,,,,,,,,,,
84,2025-09-02,Tablet,,,,,,,,,,,,,,,,,,,,,
1455,2025-01-24,Desktop,,,,,,,,,,,,,,,,,,,,,
1181,2025-04-09,Desktop,,,,,,,,,,,,,,,,,,,,,
2710,2025-01-02,Desktop,,,,,,,,,,,,,,,,,,,,,
315,2025-06-18,Desktop,,,,,,,,,,,,,,,,,,,,,
2272,2025-12-13,Tablet,,,,,,,,,,,,,,,,,,,,,
4062,2025-10-10,Mobile,,,,,,,,,,,,,,,,,,,,,
4214,2025-02-01,Tablet,,,,,,,,,,,,,,,,,,,,,
2517,2025-12-22,Desktop,,,,,,,,,,,,,,,,,,,,,
429,2025-03-23,Desktop,,,,,,,,,,,,,,,,,,,,,
3224,2025-11-23,Tablet,,,,,,,,,,,,,,,,,,,,,
4895,2025-07-10,Mobile,,,,,,,,,,,,,,,,,,,,,
3967,2025-02-08,Mobile,,,,,,,,,,,,,,,,,,,,,
3092,2025-08-10,Desktop,,,,,,,,,,,,,,,,,,,,,
1237,2025-04-09,Tablet,,,,,,,,,,,,,,,,,,,,,
2660,2025-10-08,Desktop,,,,,,,,,,,,,,,,,,,,,
4231,2025-06-27,Mobile,,,,,,,,,,,,,,,,,,,,,
3263,2025-08-13,Tablet,,,,,,,,,,,,,,,,,,,,,
3522,2025-01-22,Tablet,,,,,,,,,,,,,,,,,,,,,
1892,2025-12-26,Desktop,,,,,,,,,,,,,,,,,,,,,
3691,2025-09-21,Tablet,,,,,,,,,,,,,,,,,,,,,
2356,2025-05-05,Tablet,,,,,,,,,,,,,,,,,,,,,
358,2025-06-13,Tablet,,,,,,,,,,,,,,,,,,,,,
4242,2025-04-07,Tablet,,,,,,,,,,,,,,,,,,,,,
2862,2025-06-08,Mobile,,,,,,,,,,,,,,,,,,,,,
3610,2025-11-24,Tablet,,,,,,,,,,,,,,,,,,,,,
3054,2025-11-15,Tablet,,,,,,,,,,,,,,,,,,,,,
3035,2025-02-20,Desktop,,,,,,,,,,,,,,,,,,,,,
4161,2025-03-27,Desktop,,,,,,,,,,,,,,,,,,,,,
4163,2025-06-24,Tablet,,,,,,,,,,,,,,,,,,,,,
3511,2025-09-10,Mobile,,,,,,,,,,,,,,,,,,,,,
2914,2025-07-27,Tablet,,,,,,,,,,,,,,,,,,,,,
2905,2025-05-13,Desktop,,,,,,,,,,,,,,,,,,,,,
719,2025-04-15,Mobile,,,,,,,,,,,,,,,,,,,,,
3405,2025-03-25,Mobile,,,,,,,,,,,,,,,,,,,,,
2821,2025-11-20,Desktop,,,,,,,,,,,,,,,,,,,,,
760,2025-11-04,Mobile,,,,,,,,,,,,,,,,,,,,,
3974,2025-03-12,Tablet,,,,,,,,,,,,,,,,,,,,,
585,2025-05-07,Desktop,,,,,,,,,,,,,,,,,,,,,
197,2025-12-17,Desktop,,,,,,,,,,,,,,,,,,,,,
206,2025-03-06,Tablet,,,,,,,,,,,,,,,,,,,,,
3014,2025-11-04,Mobile,,,,,,,,,,,,,,,,,,,,,
3714,2025-11-07,Tablet,,,,,,,,,,,,,,,,,,,,,
2503,2025-02-06,Tablet,,,,,,,,,,,,,,,,,,,,,
2468,2025-05-12,Desktop,,,,,,,,,,,,,,,,,,,,,
4985,2025-12-18,Desktop,,,,,,,,,,,,,,,,,,,,,
3467,2025-08-02,Mobile,,,,,,,,,,,,,,,,,,,,,
2401,2025-11-24,Mobile,,,,,,,,,,,,,,,,,,,,,
3411,2025-06-26,Desktop,,,,,,,,,,,,,,,,,,,,,
2300,2025-03-16,Tablet,,,,,,,,,,,,,,,,,,,,,
4189,2025-10-08,Tablet,,,,,,,,,,,,,,,,,,,,,
841,2025-12-21,Mobile,,,,,,,,,,,,,,,,,,,,,
4737,2025-07-01,Mobile,,,,,,,,,,,,,,,,,,,,,
1864,2025-03-14,Desktop,,,,,,,,,,,,,,,,,,,,,
1989,2025-03-15,Mobile,,,,,,,,,,,,,,,,,,,,,
4510,2025-03-13,Mobile,,,,,,,,,,,,,,,,,,,,,
4980,2025-12-14,Desktop,,,,,,,,,,,,,,,,,,,,,
3871,2025-07-14,Tablet,,,,,,,,,,,,,,,,,,,,,
4441,2025-07-07,Mobile,,,,,,,,,,,,,,,,,,,,,
197,2025-02-20,Mobile,,,,,,,,,,,,,,,,,,,,,
2809,2025-06-03,Desktop,,,,,,,,,,,,,,,,,,,,,
1527,2025-02-22,Desktop,,,,,,,,,,,,,,,,,,,,,
2837,2025-05-25,Mobile,,,,,,,,,,,,,,,,,,,,,
1807,2025-02-06,Tablet,,,,,,,,,,,,,,,,,,,,,
2119,2025-05-28,Desktop,,,,,,,,,,,,,,,,,,,,,
1989,2025-05-07,Tablet,,,,,,,,,,,,,,,,,,,,,
1327,2025-03-18,Desktop,,,,,,,,,,,,,,,,,,,,,
3722,2025-10-27,Mobile,,,,,,,,,,,,,,,,,,,,,
4343,2025-05-25,Mobile,,,,,,,,,,,,,,,,,,,,,
2980,2025-03-10,Tablet,,,,,,,,,,,,,,,,,,,,,
627,2025-05-11,Mobile,,,,,,,,,,,,,,,,,,,,,
150,2025-05-25,Mobile,,,,,,,,,,,,,,,,,,,,,
464,2025-12-20,Desktop,,,,,,,,,,,,,,,,,,,,,
1825,2025-03-16,Mobile,,,,,,,,,,,,,,,,,,,,,
4058,2025-11-08,Tablet,,,,,,,,,,,,,,,,,,,,,
2447,2025-06-21,Mobile,,,,,,,,,,,,,,,,,,,,,
2587,2025-11-05,Mobile,,,,,,,,,,,,,,,,,,,,,
1839,2025-03-12,Tablet,,,,,,,,,,,,,,,,,,,,,
1548,2025-06-17,Desktop,,,,,,,,,,,,,,,,,,,,,
956,2025-10-10,Tablet,,,,,,,,,,,,,,,,,,,,,
3178,2025-03-26,Tablet,,,,,,,,,,,,,,,,,,,,,
382,2025-08-05,Desktop,,,,,,,,,,,,,,,,,,,,,
2059,2025-07-13,Tablet,,,,,,,,,,,,,,,,,,,,,
2506,2025-12-06,Mobile,,,,,,,,,,,,,,,,,,,,,
3149,2025-12-08,Mobile,,,,,,,,,,,,,,,,,,,,,
2044,2025-08-27,Desktop,,,,,,,,,,,,,,,,,,,,,
49,2025-03-12,Tablet,,,,,,,,,,,,,,,,,,,,,
327,2025-03-20,Tablet,,,,,,,,,,,,,,,,,,,,,
4473,2025-10-12,Mobile,,,,,,,,,,,,,,,,,,,,,
3265,2025-01-06,Tablet,,,,,,,,,,,,,,,,,,,,,
271,2025-09-10,Tablet,,,,,,,,,,,,,,,,,,,,,
4221,2025-01-04,Tablet,,,,,,,,,,,,,,,,,,,,,
4675,2025-05-02,Desktop,,,,,,,,,,,,,,,,,,,,,
1992,2025-10-12,Tablet,,,,,,,,,,,,,,,,,,,,,
3948,2025-05-13,Tablet,,,,,,,,,,,,,,,,,,,,,
2560,2025-06-01,Mobile,,,,,,,,,,,,,,,,,,,,,
483,2025-08-26,Desktop,,,,,,,,,,,,,,,,,,,,,
4438,2025-09-02,Desktop,,,,,,,,,,,,,,,,,,,,,
4221,2025-09-21,Tablet,,,,,,,,,,,,,,,,,,,,,
2311,2025-07-24,Desktop,,,,,,,,,,,,,,,,,,,,,
4320,2025-09-07,Mobile,,,,,,,,,,,,,,,,,,,,,
3754,2025-04-23,Mobile,,,,,,,,,,,,,,,,,,,,,
1394,2025-01-28,Desktop,,,,,,,,,,,,,,,,,,,,,
1359,2025-11-09,Desktop,,,,,,,,,,,,,,,,,,,,,
962,2025-07-25,Desktop,,,,,,,,,,,,,,,,,,,,,
4471,2025-03-22,Tablet,,,,,,,,,,,,,,,,,,,,,
919,2025-06-07,Desktop,,,,,,,,,,,,,,,,,,,,,
1651,2025-01-18,Tablet,,,,,,,,,,,,,,,,,,,,,
736,2025-04-14,Desktop,,,,,,,,,,,,,,,,,,,,,
3260,2025-07-25,Mobile,,,,,,,,,,,,,,,,,,,,,
4326,2025-04-22,Tablet,,,,,,,,,,,,,,,,,,,,,
1016,2025-06-20,Tablet,,,,,,,,,,,,,,,,,,,,,
353,2025-10-22,Desktop,,,,,,,,,,,,,,,,,,,,,
4921,2025-08-25,Desktop,,,,,,,,,,,,,,,,,,,,,
1412,2025-05-12,Desktop,,,,,,,,,,,,,,,,,,,,,
653,2025-05-19,Tablet,,,,,,,,,,,,,,,,,,,,,
3573,2025-09-03,Desktop,,,,,,,,,,,,,,,,,,,,,
84,2025-05-19,Tablet,,,,,,,,,,,,,,,,,,,,,
1477,2025-06-20,Tablet,,,,,,,,,,,,,,,,,,,,,
892,2025-03-22,Mobile,,,,,,,,,,,,,,,,,,,,,
2658,2025-06-10,Desktop,,,,,,,,,,,,,,,,,,,,,
4405,2025-05-24,Desktop,,,,,,,,,,,,,,,,,,,,,
3921,2025-11-18,Desktop,,,,,,,,,,,,,,,,,,,,,
1838,2025-03-07,Mobile,,,,,,,,,,,,,,,,,,,,,
47,2025-07-21,Desktop,,,,,,,,,,,,,,,,,,,,,
4785,2025-02-06,Tablet,,,,,,,,,,,,,,,,,,,,,
1736,2025-07-24,Desktop,,,,,,,,,,,,,,,,,,,,,
4112,2025-10-20,Tablet,,,,,,,,,,,,,,,,,,,,,
2580,2025-10-22,Desktop,,,,,,,,,,,,,,,,,,,,,
4864,2025-09-06,Tablet,,,,,,,,,,,,,,,,,,,,,
4561,2025-03-04,Desktop,,,,,,,,,,,,,,,,,,,,,
370,2025-08-24,Tablet,,,,,,,,,,,,,,,,,,,,,
4333,2025-05-23,Desktop,,,,,,,,,,,,,,,,,,,,,
4756,2025-01-24,Tablet,,,,,,,,,,,,,,,,,,,,,
426,2025-06-27,Tablet,,,,,,,,,,,,,,,,,,,,,
4307,2025-06-20,Mobile,,,,,,,,,,,,,,,,,,,,,
552,2025-11-14,Tablet,,,,,,,,,,,,,,,,,,,,,
3212,2025-04-24,Desktop,,,,,,,,,,,,,,,,,,,,,
412,2025-09-18,Mobile,,,,,,,,,,,,,,,,,,,,,
1273,2025-02-03,Tablet,,,,,,,,,,,,,,,,,,,,,
4441,2025-07-24,Desktop,,,,,,,,,,,,,,,,,,,,,
4771,2025-05-14,Desktop,,,,,,,,,,,,,,,,,,,,,
361,2025-08-28,Desktop,,,,,,,,,,,,,,,,,,,,,
2757,2025-04-12,Mobile,,,,,,,,,,,,,,,,,,,,,
4678,2025-08-13,Mobile,,,,,,,,,,,,,,,,,,,,,
1647,2025-05-07,Tablet,,,,,,,,,,,,,,,,,,,,,
1904,2025-01-09,Mobile,,,,,,,,,,,,,,,,,,,,,
3375,2025-12-11,Tablet,,,,,,,,,,,,,,,,,,,,,
286,2025-02-06,Tablet,,,,,,,,,,,,,,,,,,,,,
555,2025-05-04,Desktop,,,,,,,,,,,,,,,,,,,,,
3225,2025-08-07,Mobile,,,,,,,,,,,,,,,,,,,,,
99,2025-05-04,Mobile,,,,,,,,,,,,,,,,,,,,,
4160,2025-01-21,Tablet,,,,,,,,,,,,,,,,,,,,,
79,2025-06-23,Mobile,,,,,,,,,,,,,,,,,,,,,
4117,2025-08-12,Mobile,,,,,,,,,,,,,,,,,,,,,
3574,2025-12-09,Mobile,,,,,,,,,,,,,,,,,,,,,
2432,2025-05-03,Tablet,,,,,,,,,,,,,,,,,,,,,
4066,2025-04-05,Tablet,,,,,,,,,,,,,,,,,,,,,
3084,2025-07-10,Tablet,,,,,,,,,,,,,,,,,,,,,
3170,2025-12-10,Desktop,,,,,,,,,,,,,,,,,,,,,
4577,2025-07-03,Tablet,,,,,,,,,,,,,,,,,,,,,
578,2025-03-09,Desktop,,,,,,,,,,,,,,,,,,,,,
4829,2025-12-04,Mobile,,,,,,,,,,,,,,,,,,,,,
105,2025-03-05,Mobile,,,,,,,,,,,,,,,,,,,,,
2356,2025-05-06,Desktop,,,,,,,,,,,,,,,,,,,,,
3634,2025-08-21,Tablet,,,,,,,,,,,,,,,,,,,,,
864,2025-04-15,Mobile,,,,,,,,,,,,,,,,,,,,,
2463,2025-03-13,Tablet,,,,,,,,,,,,,,,,,,,,,
2354,2025-07-28,Desktop,,,,,,,,,,,,,,,,,,,,,
1133,2025-05-24,Mobile,,,,,,,,,,,,,,,,,,,,,
234,2025-07-21,Mobile,,,,,,,,,,,,,,,,,,,,,
1728,2025-10-24,Mobile,,,,,,,,,,,,,,,,,,,,,
2653,2025-12-07,Tablet,,,,,,,,,,,,,,,,,,,,,
4348,2025-10-24,Desktop,,,,,,,,,,,,,,,,,,,,,
3963,2025-07-21,Desktop,,,,,,,,,,,,,,,,,,,,,
709,2025-02-19,Mobile,,,,,,,,,,,,,,,,,,,,,
867,2025-11-03,Desktop,,,,,,,,,,,,,,,,,,,,,
3627,2025-03-22,Tablet,,,,,,,,,,,,,,,,,,,,,
282,2025-08-16,Tablet,,,,,,,,,,,,,,,,,,,,,
4939,2025-09-03,Mobile,,,,,,,,,,,,,,,,,,,,,
308,2025-08-08,Desktop,,,,,,,,,,,,,,,,,,,,,
4660,2025-07-08,Tablet,,,,,,,,,,,,,,,,,,,,,
343,2025-02-27,Tablet,,,,,,,,,,,,,,,,,,,,,
805,2025-09-09,Tablet,,,,,,,,,,,,,,,,,,,,,
3600,2025-04-09,Tablet,,,,,,,,,,,,,,,,,,,,,
991,2025-01-15,Mobile,,,,,,,,,,,,,,,,,,,,,
2187,2025-04-12,Desktop,,,,,,,,,,,,,,,,,,,,,
2677,2025-04-26,Mobile,,,,,,,,,,,,,,,,,,,,,
196,2025-01-11,Mobile,,,,,,,,,,,,,,,,,,,,,
1974,2025-11-24,Mobile,,,,,,,,,,,,,,,,,,,,,
1990,2025-07-03,Mobile,,,,,,,,,,,,,,,,,,,,,
3229,2025-03-14,Desktop,,,,,,,,,,,,,,,,,,,,,
3918,2025-03-06,Tablet,,,,,,,,,,,,,,,,,,,,,
2387,2025-09-14,Desktop,,,,,,,,,,,,,,,,,,,,,
3366,2025-07-27,Desktop,,,,,,,,,,,,,,,,,,,,,
4931,2025-11-28,Desktop,,,,,,,,,,,,,,,,,,,,,
4894,2025-08-13,Tablet,,,,,,,,,,,,,,,,,,,,,
711,2025-03-12,Mobile,,,,,,,,,,,,,,,,,,,,,
526,2025-10-07,Tablet,,,,,,,,,,,,,,,,,,,,,
3164,2025-10-10,Desktop,,,,,,,,,,,,,,,,,,,,,
539,2025-03-13,Tablet,,,,,,,,,,,,,,,,,,,,,
1622,2025-06-12,Desktop,,,,,,,,,,,,,,,,,,,,,
4686,2025-06-12,Desktop,,,,,,,,,,,,,,,,,,,,,
1615,2025-02-28,Tablet,,,,,,,,,,,,,,,,,,,,,
2607,2025-07-24,Desktop,,,,,,,,,,,,,,,,,,,,,
2358,2025-11-27,Desktop,,,,,,,,,,,,,,,,,,,,,
1993,2025-08-03,Desktop,,,,,,,,,,,,,,,,,,,,,
572,2025-03-25,Mobile,,,,,,,,,,,,,,,,,,,,,
3460,2025-09-27,Mobile,,,,,,,,,,,,,,,,,,,,,
3282,2025-04-15,Mobile,,,,,,,,,,,,,,,,,,,,,
2964,2025-03-09,Tablet,,,,,,,,,,,,,,,,,,,,,
4568,2025-06-05,Tablet,,,,,,,,,,,,,,,,,,,,,
2741,2025-09-05,Desktop,,,,,,,,,,,,,,,,,,,,,
4606,2025-03-08,Desktop,,,,,,,,,,,,,,,,,,,,,
2544,2025-10-18,Desktop,,,,,,,,,,,,,,,,,,,,,
4300,2025-09-08,Mobile,,,,,,,,,,,,,,,,,,,,,
3484,2025-10-04,Mobile,,,,,,,,,,,,,,,,,,,,,
4548,2025-04-16,Mobile,,,,,,,,,,,,,,,,,,,,,
3628,2025-04-05,Desktop,,,,,,,,,,,,,,,,,,,,,
462,2025-02-10,Tablet,,,,,,,,,,,,,,,,,,,,,
2547,2025-10-19,Mobile,,,,,,,,,,,,,,,,,,,,,
3223,2025-11-18,Tablet,,,,,,,,,,,,,,,,,,,,,
1220,2025-11-05,Mobile,,,,,,,,,,,,,,,,,,,,,
2240,2025-01-05,Tablet,,,,,,,,,,,,,,,,,,,,,
4464,2025-08-24,Desktop,,,,,,,,,,,,,,,,,,,,,
1668,2025-08-07,Tablet,,,,,,,,,,,,,,,,,,,,,
97,2025-02-26,Desktop,,,,,,,,,,,,,,,,,,,,,
421,2025-03-05,Mobile,,,,,,,,,,,,,,,,,,,,,
486,2025-01-16,Desktop,,,,,,,,,,,,,,,,,,,,,
3740,2025-09-04,Tablet,,,,,,,,,,,,,,,,,,,,,
1408,2025-07-06,Tablet,,,,,,,,,,,,,,,,,,,,,
2780,2025-08-24,Mobile,,,,,,,,,,,,,,,,,,,,,
3086,2025-03-23,Tablet,,,,,,,,,,,,,,,,,,,,,
